AREA,PERIMETER,CODCOMP,DEPTO,LOCALIDAD,SECCION,SEGMENTO,ZONA,CCZ,ASENTA,TOT_VIV,VIV_PAR,VIV_CO,VP_OCUPAD,VP_DESO,HOG_PAR,TOT_POB,CAT_POB,ED_0_5,ED_6_14,ED_15_24,ED_25_64,ED_65,CODSEG,CODSEC,CENTROIDE_LAT,CENTROIDE_LONG,CENT_X_SEGUN_ARCH,CENT_Y_SEGUN_ARCH
10434.820313,408.706235,113008003,1,20,13,8,3,17,NO,25,25,0,25,0,26,117,4,16,19,23,47,12,113008,113,-34.8844795069,-56.2565044392,567941.077292729,6139515.4749329705
9603.752464,392.345326,113014008,1,20,13,14,8,17,NO,16,16,0,16,0,16,50,3,7,3,10,20,10,113014,113,-34.8844762088,-56.2632001837,567329.2069594493,6139520.361533278
9784.015625,395.921765,113018009,1,20,13,18,9,17,NO,35,35,0,32,3,32,92,3,8,10,8,50,16,113018,113,-34.8846246505,-56.2508868388,568454.306843848,6139495.554434273
6800.007538,363.083172,113050005,1,20,13,50,5,17,SI,30,30,0,28,2,29,97,3,13,12,18,42,12,113050,113,-34.8846777746,-56.2691173256,566788.321633635,6139501.969542083
37310.445313,792.481706,113004008,1,20,13,4,8,17,NO,1,1,0,1,0,1,4,2,0,0,0,4,0,113004,113,-34.8852217558,-56.2458116422,568917.591426529,6139425.85702304
5263.424645,294.507907,113050004,1,20,13,50,4,17,SI,17,17,0,17,0,17,55,3,4,8,12,25,6,113050,113,-34.8845819059,-56.2697651999,566729.195031135,6139513.032881907
3293.343399,230.033038,113050008,1,20,13,50,8,17,SI,16,16,0,15,1,15,53,3,3,14,10,26,0,113050,113,-34.8846878919,-56.2673804094,566947.0364673544,6139499.688123424
10317.929688,406.149416,113018004,1,20,13,18,4,17,NO,26,26,0,22,4,22,76,3,7,8,13,36,12,113018,113,-34.8847781907,-56.251959705,568356.1387392678,6139479.2598555125
10217.523438,404.334557,113008001,1,20,13,8,1,17,NO,31,31,0,30,1,41,145,4,19,23,27,69,7,113008,113,-34.8847717789,-56.258689293,567741.1802768075,6139484.542417557
9541.896311,423.521960,113050002,1,20,13,50,2,17,SI,32,32,0,30,2,30,110,4,12,14,21,52,11,113050,113,-34.8846579799,-56.2708907795,566626.2756991818,6139505.345698835
13138.995386,463.308385,113048002,1,20,13,48,2,17,SI,38,38,0,37,1,38,127,4,14,19,21,69,4,113048,113,-34.8849646455,-56.2747787724,566270.7366033654,6139473.916397208
9720.198296,439.940315,113049009,1,20,13,49,9,17,SI,25,25,0,25,0,26,100,4,14,17,25,41,3,113049,113,-34.884973038,-56.278464854,565933.889431705,6139475.41808451
10058.093750,400.975101,113017016,1,20,13,17,16,17,NO,31,31,0,29,2,29,104,4,9,16,15,50,14,113017,113,-34.8849279727,-56.2530460966,568256.7381376253,6139463.390222563
10212.328125,404.228805,113009006,1,20,13,9,6,17,NO,47,47,0,45,2,46,150,4,18,27,19,76,10,113009,113,-34.8849170396,-56.2597814781,567641.2551222207,6139469.171442362
10321.132813,406.411241,113004001,1,20,13,4,1,17,NO,26,26,0,24,2,26,79,3,5,6,14,42,12,113004,113,-34.8850570341,-56.2474626829,568766.8538375318,6139445.258911659
7634.058706,368.205828,113048003,1,20,13,48,3,17,SI,20,20,0,20,0,22,64,3,8,2,13,37,4,113048,113,-34.8850826453,-56.2739014121,566350.816457364,6139460.249770275
5978.181155,318.587573,113050007,1,20,13,50,7,17,SI,24,24,0,24,0,24,80,3,7,8,19,37,9,113050,113,-34.8848213871,-56.2682463683,566867.7951995604,6139485.462264809
9857.125000,397.157615,113017011,1,20,13,17,11,17,NO,22,22,0,22,0,22,64,3,7,5,10,27,15,113017,113,-34.8850714269,-56.2541150456,568158.9370662557,6139448.20938519
7414.093750,405.716030,113009001,1,20,13,9,1,17,NO,27,27,0,27,0,27,103,4,14,26,10,46,7,113009,113,-34.8849751949,-56.2607763565,567550.2936697104,6139463.393508564
5595.561148,335.990562,113048001,1,20,13,48,1,17,SI,19,19,0,18,1,20,81,3,16,12,22,28,3,113048,113,-34.8850743569,-56.2756706543,566189.1469226074,6139462.3393887
8792.878275,370.856408,113050001,1,20,13,50,1,17,SI,34,34,0,32,2,32,102,4,9,15,19,45,14,113050,113,-34.8850833113,-56.2721625052,566509.7200376074,6139459.022730845
10197.835938,403.611049,113005007,1,20,13,5,7,17,NO,39,39,0,38,1,38,94,3,5,6,8,57,18,113005,113,-34.8852132449,-56.2485660377,568665.8973203656,6139428.692422545
10259.898438,405.227114,113017006,1,20,13,17,6,17,NO,28,28,0,26,2,26,85,3,6,16,12,37,14,113017,113,-34.8852143664,-56.2551998754,568059.6855561713,6139433.0953739835
7222.507813,408.020417,113011003,1,20,13,11,3,17,NO,24,24,0,22,2,22,81,3,6,14,15,42,4,113011,113,-34.8850082171,-56.2623068267,567410.4095563719,6139460.762427759
9735.250000,394.551663,113018015,1,20,13,18,15,17,NO,23,23,0,21,2,22,61,3,5,7,9,27,13,113018,113,-34.8853608189,-56.2496520613,568566.5321161419,6139413.070761511
10371.304687,407.535347,113008004,1,20,13,8,4,17,NO,44,44,0,40,4,40,130,4,13,22,25,53,17,113008,113,-34.8853641789,-56.2563227225,567956.9546638852,6139417.243884754
6288.533733,381.972665,113050003,1,20,13,50,3,17,SI,27,27,0,24,3,24,87,3,10,17,15,41,4,113050,113,-34.8851335889,-56.2707891245,566635.1812037015,6139452.534356998
6126.067086,319.474037,113050012,1,20,13,50,12,17,SI,21,21,0,21,0,21,58,3,2,13,6,29,8,113050,113,-34.8852558014,-56.2673904032,566945.6626278268,6139436.715204906
6773.923166,385.763497,113011002,1,20,13,11,2,17,NO,18,18,0,18,0,18,52,3,5,6,2,30,9,113011,113,-34.8854612091,-56.2630477,567342.3376703544,6139411.025161941
9446.265625,388.899472,113018010,1,20,13,18,10,17,NO,42,42,0,37,5,37,113,4,7,12,14,55,25,113018,113,-34.8855058688,-56.2507104029,568469.6989787802,6139397.709025413
5097.074694,290.238077,113050015,1,20,13,50,15,17,SI,25,25,0,25,0,25,73,3,5,13,14,35,6,113050,113,-34.8853486106,-56.2695809729,566745.4101308481,6139427.884704025
11117.056605,460.081258,113049010,1,20,13,49,10,17,SI,37,37,0,36,1,36,126,4,9,29,28,48,12,113049,113,-34.8853687162,-56.2774105852,566029.913781775,6139430.844063437
2791.516609,233.871579,113011021,1,20,13,11,21,17,NO,16,16,0,16,0,16,45,2,3,7,5,22,8,113011,113,-34.8851971999,-56.2640336015,567252.4598498192,6139440.965422833
8487.742188,414.302886,113011004,1,20,13,11,4,17,NO,22,22,0,20,2,21,75,3,1,15,9,41,9,113011,113,-34.8853814371,-56.2616435412,567470.7166896943,6139418.926779763
15181.432788,492.664213,113050014,1,20,13,50,14,17,SI,42,42,0,41,1,41,130,4,14,10,26,60,20,113050,113,-34.8857039318,-56.2684240769,566850.8410750674,6139387.709100818
9811.328125,396.102062,113018005,1,20,13,18,5,17,NO,38,38,0,34,4,34,101,4,8,12,15,46,20,113018,113,-34.8856539368,-56.2517869031,568371.2043512817,6139382.023964642
9545.828086,433.879603,113050019,1,20,13,50,19,17,SI,31,31,0,30,1,31,90,3,3,13,14,50,10,113050,113,-34.8855983021,-56.2707153112,566641.5511879362,6139400.9498466365
