GID,COD_RECORRIDO,NRO_SERIE,MATERIAL,CAPACIDAD,POINT,DEMANDA_POBLACION,DEMANDA
11827,D_DU_RM_CL_02,D_02_10,Metal,2400,"-34.8545182769748,-56.163140222343756",121.526509970574,5.6425078436
21989,F_DU_RM_CL_10,688,Plastico,3200,"-34.81860959849002,-56.1300745503724",56.9266200879881,16.0607763621
21991,A_DU_RM_CL_06,40391,Metal,2400,"-34.85931572250616,-56.22721352823496",62.2038069316959,11.0236707291
21993,A_DU_RM_CL_06,12434,Metal,2400,"-34.860598141087664,-56.227432744800915",84.6200248451837,8.1034517181
21994,A_DU_RM_CL_06,s/n,Metal,2400,"-34.860952149053446,-56.22699945046368",106.386064968788,6.4455272964
21995,A_DU_RM_CL_06,28381,Metal,2400,"-34.86175163477432,-56.226046503354866",71.0427594170199,9.6521347332
21996,A_DU_RM_CL_06,8008123,Metal,2400,"-34.86242059242912,-56.225252418869424",22.020210533085,31.1402238722
21997,A_DU_RM_CL_06,26040,Metal,2400,"-34.86323826937003,-56.22426598471632",90.646249871045,7.5647286754
22005,A_DU_RM_CL_06,A_06_72,Plastico,3200,"-34.866562533541476,-56.218826975906474",177.89210655457,5.1395519003
22023,A_DU_RM_CL_06,891,Metal,2400,"-34.86435521559548,-56.21958290729165",46.154455259508,14.8569467857
22024,A_DU_RM_CL_06,8002621,Metal,2400,"-34.863376809086674,-56.22078615856226",63.272033094039,10.8375573248
22026,A_DU_RM_CL_06,32835,Metal,2400,"-34.861932268918885,-56.222502102650836",100.831401139731,6.8006025699
22031,A_DU_RM_CL_06,26030,Metal,2400,"-34.85893229620631,-56.226473361833094",76.0802068281191,9.0130444475
22033,A_DU_RM_CL_06,21734,Metal,2400,"-34.86216133993982,-56.22080955888613",63.4854009065327,10.8011334247
22034,A_DU_RM_CL_06,4772,Metal,2400,"-34.862403175866376,-56.22051356669799",47.0582796100555,14.5715969941
22036,A_DU_RM_CL_06,A_06_88,Volúmen,0,"-34.863746481437175,-56.218908667316875",28.4876140192758,1
22041,CH_DU_RM_CL_09,CH_09_81,Metal,2400,"-34.908304724184966,-56.13582740648372",91.3745340451618,7.5044353756
22046,E_DU_RM_CL_03,32801,Metal,2400,"-34.88421829189706,-56.12291770669026",114.971849281056,5.9641928872
22075,A_DU_RM_CL_09,A_09_8,Metal,2400,"-34.842845020665074,-56.236254075390406",91.9525963567981,7.4572585537
22078,A_DU_RM_CL_09,A_09_11,Metal,2400,"-34.84174434315558,-56.243402159016846",108.226235450557,6.3359340077
22094,A_DU_RM_CL_09,A_09_26,Metal,2400,"-34.84391520006542,-56.23261069735337",53.1165762919494,12.9096100235
22124,A_DU_RM_CL_09,A_09_47,Metal,2400,"-34.839299702879515,-56.23735568552769",31.5348950283542,21.7446192574
22129,A_DU_RM_CL_09,A_09_53,Volúmen,0,"-34.83599953288894,-56.24129878853566",43.5648231788379,1
22130,A_DU_RM_CL_09,A_09_54,Metal,2400,"-34.835677616262345,-56.23991460639298",156.988819403943,4.3679179722
22131,A_DU_RM_CL_09,A_09_55,Metal,2400,"-34.83686888471448,-56.237974150957555",116.674487120195,5.8771570601
22199,A_DU_RM_CL_11,A_11_59,Metal,2400,"-34.83565681342077,-56.26082352226335",40.9321682166891,16.7524545019
22208,A_DU_RM_CL_11,A_11_68,Metal,2400,"-34.8387599155083,-56.25616018416659",80.4911871373418,8.5191225288
22258,A_DU_RM_CL_09,A_09_65,Metal,2400,"-34.84071852014755,-56.23136113503142",230.948271560024,2.9691249953
22260,A_DU_RM_CL_09,A_09_67,Metal,2400,"-34.84223215142716,-56.228799265377276",59.92147645037,11.4435478953
22263,A_DU_RM_CL_16,A_16_2,Metal,2400,"-34.83671258701838,-56.26570541622831",54.3860570679383,12.6082735665
22303,A_DU_RM_CL_09,A_09_70,Metal,2400,"-34.844974580634954,-56.22379567707408",170.616963984409,4.0190275908
22304,A_DU_RM_CL_09,A_09_71,Metal,2400,"-34.8455646907807,-56.22279355764876",56.5316313307624,12.1297452342
22309,A_DU_RM_CL_16,A_16_43,Metal,2400,"-34.840442671208436,-56.27036661335804",82.1256351563979,8.3495766506
22315,A_DU_RM_CL_16,A_16_47,Metal,2400,"-34.83877885537041,-56.27047426516277",125.067285459307,5.4827630039
22316,A_DU_RM_CL_16,A_16_48,Metal,2400,"-34.839402291683356,-56.27096018191806",47.7392888135648,14.3637306453
22317,A_DU_RM_CL_16,A_16_49,Metal,2400,"-34.83980502700389,-56.2697103736895",110.037446829465,6.2316448216
16054,G_DU_RM_CL_04,G_04_56,Metal,2400,"-34.83755079852642,-56.19642060454318",60.0141126051016,11.4258839454
16055,G_DU_RM_CL_04,G_04_57,Metal,2400,"-34.836189854699896,-56.19869402450814",183.996384697256,3.7267812998
16065,G_DU_RM_CL_04,G_04_61,Volúmen,0,"-34.832437084182125,-56.19543561410568",49.8418898666516,1
16070,G_DU_RM_CL_04,G_04_65,Metal,2400,"-34.82992414381598,-56.19110535240203",100.027217589355,6.855277016
16081,G_DU_RM_CL_04,G_04_68,Metal,2400,"-34.831782746969935,-56.199114052812554",118.81420876396,5.7713155089
16083,G_DU_RM_CL_04,G_04_70,Metal,2400,"-34.835388742811936,-56.200431964387846",37.7972029766218,18.1419319874
16105,G_DU_RM_CL_04,G_04_78,Metal,2400,"-34.82901928540795,-56.1948013947111",63.6074670386635,10.7804054719
16141,G_DU_RM_CL_04,G_04_80,Volúmen,0,"-34.82779812003554,-56.196942683176",73.4832645210553,1
16142,G_DU_RM_CL_04,S/N 1195,Metal,2400,"-34.82624246078749,-56.197980728613715",92.4869675460845,7.4141720062
16143,G_DU_RM_CL_04,G_04_82,Metal,2400,"-34.82688094224263,-56.19712527493669",95.8736011617824,7.1522742174
16144,G_DU_RM_CL_04,S/N 1196,Metal,2400,"-34.826997457292194,-56.198300503219905",89.4504059711921,7.6658599619
16164,G_DU_RM_CL_04,G_04_20,Metal,2400,"-34.83446881968574,-56.20159863652967",112.113048500419,6.116275446
16181,G_DU_RM_CL_04,G_04_21,Metal,2400,"-34.83414845224097,-56.202598638376074",134.640775137072,5.0929169489
16202,G_DU_RM_CL_04,G_04_22,Metal,2400,"-34.83522115728827,-56.20318758912316",105.661697648637,6.4897148255
16242,G_DU_RM_CL_04,G_04_29,Metal,2400,"-34.83608332298122,-56.20220315574945",70.9372188194043,9.666495207
16281,G_DU_RM_CL_04,G_04_33,Metal,2400,"-34.835234947564594,-56.20687627434269",80.9830105621475,8.4673844669
16321,G_DU_RM_CL_04,G_04_35,Metal,2400,"-34.83348860672436,-56.20644418729109",136.285090097368,5.031469585
16361,G_DU_RM_CL_04,G_04_37,Metal,2400,"-34.83170194906726,-56.204868610958236",137.97655977507,4.9697882512
16423,G_DU_RM_CL_04,G_04_40,Metal,2400,"-34.828384500778746,-56.20203453171445",49.1343863021617,13.9558939741
16441,G_DU_RM_CL_04,G_04_39,Metal,2400,"-34.82879537375634,-56.20194764496391",60.7906770486192,11.2799251301
17321,F_DU_RM_CL_05,1237,Plastico,3200,"-34.851006841955325,-56.12806877941396",117.234594141632,7.7987706699
17325,F_DU_RM_CL_05,1140,Plastico,3200,"-34.84847424146145,-56.126655103220685",96.3565294584552,9.4885704106
17330,F_DU_RM_CL_05,1284,Plastico,3200,"-34.84242146920963,-56.12465778062527",58.973564072592,15.5033145557
17335,F_DU_RM_CL_05,1253,Plastico,3200,"-34.84008102028834,-56.12151703835621",52.9367417029554,17.2712880482
17339,F_DU_RM_CL_05,1283,Plastico,3200,"-34.84444474283983,-56.120811141768414",175.556939923075,5.2079155326
17346,F_DU_RM_CL_05,1243,Plastico,3200,"-34.84898059367113,-56.12339394803283",113.919727645417,8.0257013705
17347,F_DU_RM_CL_05,1273,Plastico,3200,"-34.849893628525884,-56.12393395386919",76.4510549573802,11.9590987305
17348,F_DU_RM_CL_05,1236,Plastico,3200,"-34.851077188054404,-56.12462709696053",104.390082527759,8.7583579986
17354,F_DU_RM_CL_05,1179,Plastico,3200,"-34.855571847281574,-56.127300845396746",6.03699897764464,151.4470546825
17359,F_DU_RM_CL_05,1180,Plastico,3200,"-34.85353088975118,-56.12720034962911",114.014242547493,8.0190482685
17361,F_DU_RM_CL_05,1138,Plastico,3200,"-34.85061267880991,-56.125452094404075",107.822392698638,8.479553193
17362,F_DU_RM_CL_05,1164,Plastico,3200,"-34.85005932333007,-56.12514203588214",109.49449007422,8.3500613927
17363,F_DU_RM_CL_05,1136,Plastico,3200,"-34.84891909885865,-56.12448213429667",115.849406635766,7.8920189653
17364,F_DU_RM_CL_05,1136,Plastico,3200,"-34.848433652284065,-56.124184032343564",90.7990079411242,10.0693359434
17367,F_DU_RM_CL_05,402,Plastico,3200,"-34.846830019758706,-56.123921059054254",114.554645796484,7.9812189888
17368,F_DU_RM_CL_05,884,Plastico,3200,"-34.84582705013169,-56.12346397746003",105.332649104779,8.6799840511
17369,F_DU_RM_CL_05,142,Plastico,3200,"-34.84421246073011,-56.12272228991028",102.8084992974,8.8930946423
17371,F_DU_RM_CL_05,798,Plastico,3200,"-34.84276644642258,-56.12400626349419",80.2468295751943,11.3934185204
17372,F_DU_RM_CL_05,950,Plastico,3200,"-34.84377513823896,-56.125257207829996",90.5900849174796,10.0925583094
17374,F_DU_RM_CL_05,955,Plastico,3200,"-34.84594435625882,-56.125919429632894",46.7583377253359,19.5534263783
17375,F_DU_RM_CL_05,316,Plastico,3200,"-34.847214207961635,-56.12639250026411",71.7653300533811,12.7399360333
17382,F_DU_RM_CL_05,220,Plastico,3200,"-34.850276619354446,-56.12666496195929",93.6184472905584,9.7660850051
7638,CH_DU_RM_CL_02,CH_02_75,Plastico,3200,"-34.91568493196803,-56.16048311283893",69.0009106585304,13.250342721
22062,CH_DU_RM_CL_02,CH_02_9,Plastico,3200,"-34.91217846605757,-56.16158465086476",12.3951762534925,73.7614129551
