cx,cy
575185.280172733,6137899.4716953
575017.0059708916,6137904.53059391
574099.6743224636,6137939.109656884
575614.6303144353,2050038682.8695219
574542.7902546909,6137905.788695884
574756.3443238119,6137900.247071113
573559.2314061493,6137841.993469298
574326.1436527153,6137898.101989008
573976.9198551537,6137884.619544055
573924.8319712151,6137918.718267089
574907.4866174285,6137848.2700119885
573861.1542343367,6137883.166388435
573758.605887598,6137874.709620622
574440.4264417354,6137867.180577416
574670.6611024437,6137860.94749354
574074.8539042157,6137873.710105756
575720.7053162288,2050038463.207267
575086.4426556034,6137821.727613851
575280.6885497525,6137812.387108406
574807.9002002056,6137797.427002268
574577.4607325002,6137821.2159322
574351.1393575358,6137832.568099184
575467.7630769451,6137794.63624172
575640.8593227877,2050038402.2614572
574474.8865317154,6137783.211043626
574721.0529029956,6137756.808089991
575191.3796996161,6137761.679855402
574958.2216349341,6137753.051737637
574386.1810569969,6137747.25155234
575808.557534161,6137742.646362676
574661.0278055401,6137715.984389483
575099.1326530045,6137722.034969773
575350.8466079473,6137730.037995756
574599.8651040628,6137711.576859643
575511.8439383158,6137697.573117039
574855.5198943472,6137699.87033352
574521.4077401791,6137674.948935902
575838.1446098352,6137682.903003214
575676.5906689919,6137679.986591981
575232.7414288308,6137681.647927238
574994.9666569058,6137673.371589607
575403.7672423959,6137647.2075292
575294.7363930951,6137681.4602660285
574431.7273952032,6137638.578727003
574766.805510281,6137658.968873279
575773.54706854,6137651.585285912
575138.9386449974,6137636.304229371
574892.2893550327,6137625.597331992
575722.5404670023,6137626.3695830405
575851.1967075027,6137565.337677411
575326.2635738938,6137608.203788886
575501.7290085626,2049948354.751843
574690.2840220493,6137623.219060011
575035.5078494155,6137587.862838486
575656.8340978025,6137594.434065486
575268.63739924,6137582.3264382295
574802.7450127158,6137583.899248255
574608.7331592632,6137587.941348804
574391.5772387235,6137585.770276584
575459.1981236708,2049948283.959861
575505.8721541209,2049947972.2881696
575183.9588527037,6137543.1241291845
575762.9286310985,6137540.109453442
574932.9111946537,6137540.478340427
574506.2919639819,6137544.202986879
574722.1011051247,6137545.606187703
575694.6960534387,6137519.679544981
575463.3412590439,2049948212.4763823
575082.7023025759,6137495.237866288
575341.3676316399,6137539.931131447
574639.7473969476,6137508.002777103
574842.9979212699,6137498.4183222
574421.8846069243,6137506.019126548
575408.4319793138,6137490.725332291
575273.7139437031,2049913180.1616333
574546.6455875669,6137463.537923462
574757.3487630402,6137457.819843902
574978.8620489475,6137447.52312908
575273.7139428628,2049912899.3464074
575862.2655942331,6137432.4477862185
575609.0870565951,6137420.533130986
575513.5386069611,6137414.208799974
575748.207433456,6137428.380958208
574672.2389506741,6137419.6446098015
574451.6520404477,6137418.8542368645
574887.2547793407,6137405.50786978
575131.5971013171,6137399.976248249
575438.8149155505,6137401.540575361
575351.5067353725,6137378.202015097
574583.6980826941,6137378.041100349
574796.0235984209,6137362.47022528
575280.5424466988,6137347.144300307
575024.592332907,6137351.905813398
574480.2054469435,6137323.924205255
575871.1206966132,6137332.340054773
574708.2923271462,6137323.412052962
575205.8115100497,6137311.566640297
575766.7159548625,6137323.458260192
574931.4946790689,6137309.786487011
575661.683994816,6137314.565823816
575584.8572479973,6137311.082375191
575460.2272611505,6137298.899248669
575532.1408558404,6137303.460355395
575144.6383709409,6137284.05126212
574624.1528624598,6137284.511215687
575396.4386020225,6137270.758636256
574835.1484476628,6137264.79393308
575071.0556695447,6137249.224688925
575330.1413504973,6137242.041244135
574511.650219064,6137227.870946145
575880.5021793145,6137229.945892492
575775.4923999305,6137220.882904709
191946737.76564702,6137220.04318381
574978.7958410968,6137206.105730841
575670.4614625346,6137211.792538066
575223.9570473138,6137193.252676966
575564.2563354996,6137202.65853091
575457.8303372161,6137186.383719015
191946610.4956117,6137220.0431154
574878.0579653522,6137157.3972638985
575114.3072931808,6137160.613565426
575368.4766804252,6137129.253398573
574784.8292060058,6137127.26518714
575890.3880223351,6137117.314626317
575288.695688436,2049779910.3235104
575785.9776872194,6137108.897311584
575006.1235922945,6137094.949723456
575680.7256377003,6137099.523070953
575572.9918365602,6137088.997689079
575467.5085660758,6137086.250267114
575103.4891217976,6137069.157128751
574914.1794718396,6137084.304391617
574548.3262821551,6137076.521444236
